Id,SalePrice
1461,105787.83817312682
1462,196279.47283133224
1463,134332.82007377743
1464,156276.07342753507
1465,188222.94791045442
1466,152696.95053139175
1467,228924.17726601797
1468,142047.12995546905
1469,175287.9614714014
1470,133593.16647811208
1471,207255.60478369953
1472,136460.96432306938
1473,130007.66921704482
1474,116483.39720690779
1475,87559.73937953575
1476,234575.81247352867
1477,190357.39137298998
1478,216269.91028226048
1479,211218.5056979512
1480,356141.0705960415
1481,232117.73960181183
1482,168194.95793017495
1483,165716.94837680444
1484,135433.46055413282
1485,135189.0760521601
1486,150004.92096044857
1487,258393.23233891497
1488,203046.14964933248
1489,171820.98802719204
1490,261163.9515747774
1491,178724.56022562296
1492,92308.26896004342
1493,220443.11043353679
1494,240488.75903682757
1495,222073.60560502255
1496,232752.72680864827
1497,148215.59589235956
1498,147482.804436272
1499,141921.3060273118
1500,163516.21490499654
1501,160831.7834736166
1502,136177.26909023325
1503,257394.43635332465
1504,188187.2013717831
1505,222690.9316020029
1506,195817.7536454384
1507,232522.57994941928
1508,205173.03531018697
1509,159217.4685755706
1510,163334.27646114447
1511,185258.59883940322
1512,185699.83836948007
1513,169929.51725311938
1514,184074.4230653275
1515,220614.3080438697
1516,182735.03332432362
1517,145303.48756274057
1518,141364.42165443598
1519,239812.0889127385
1520,172470.31739740697
1521,154786.06271962464
1522,228091.23622574008
1523,138415.1168572318
1524,121100.5752541446
1525,137675.68191745313
1526,87739.14044061066
1527,109866.25851169428
1528,188108.77099874592
1529,158970.23205547634
1530,193802.79944196588
1531,183884.99916617546
1532,126397.85724062486
1533,141007.8646922205
1534,177971.61274806183
1535,206134.77248211784
1536,147270.50508882036
1537,200588.42707437061
1538,103247.33201239543
1539,275977.385756315
1540,96013.63684936914
1541,138618.69363010715
1542,133142.0150670679
1543,98289.92797608305
1544,80468.1141767747
1545,115692.55883222201
1546,133182.33859451587
1547,122286.54828375191
1548,131002.56417907526
1549,113278.59309453402
1550,134418.04354903175
1551,200954.61465499667
1552,215376.3557551991
1553,152385.50049317192
1554,144190.31295007528
1555,168700.60879657135
1556,124001.83763064447
1557,86752.22026005364
1558,103838.09561896288
1559,43521.97531029284
1560,79833.6528499508
1561,163125.41911422703
1562,140580.82229630672
1563,144065.9165969139
1564,154379.8784131706
1565,172710.8167810613
1566,150606.9602298443
1567,128481.37063146703
1568,194349.7334923659
1569,345685.1956063879
1570,132874.81166270265
1571,147982.2531352305
1572,165884.19203135007
1573,205554.95721915786
1574,143688.93414904157
1575,153518.16210712827
1576,240009.61535664665
1577,160513.4957548437
1578,119614.62282307254
1579,164556.07776688307
1580,162974.17541123944
1581,128748.35692340299
1582,125321.62931929722
1583,260887.32280622402
1584,203391.84918114508
1585,155683.5351963938
1586,141071.934996884
1587,129849.24436601097
1588,133988.69393019768
1589,145562.78102302193
1590,151569.38496251675
1591,145343.95195228973
1592,103332.4243357088
1593,120261.967560363
1594,108566.42166060368
1595,129369.02812359927
1596,231208.1660226986
1597,176745.3956831641
1598,146160.61146147997
1599,111136.03588416026
1600,134744.7693589515
1601,113159.81612349629
1602,162209.86190725985
1603,51114.01660580613
1604,195478.69936896773
1605,174540.26466261648
1606,199757.997214881
1607,186610.5302756865
1608,200234.75675525842
1609,191251.5374503454
1610,156697.33129721566
1611,131479.6633099794
1612,171766.24494471643
1613,165855.87234894052
1614,103542.1883295949
1615,84921.33420300973
1616,93768.72217336297
1617,82122.74823272468
1618,113555.76028663076
1619,105074.86323278672
1620,197331.32519760888
1621,156916.11284710496
1622,182951.22522698622
1623,256053.3464325614
1624,224733.69626214253
1625,145251.63630464592
1626,190476.48485446456
1627,158543.75589306152
1628,188779.35538864796
1629,156030.1348422884
1630,338653.5522349315
1631,161908.98703789708
1632,195202.34855399348
1633,119128.09576701534
1634,155933.60327183548
1635,151644.86811824184
1636,154220.75241820532
1637,158119.33585812166
1638,156168.33356049267
1639,171984.84655507284
1640,166645.34427111445
1641,202954.35832815044
1642,162923.34727212563
1643,181004.83205150405
1644,188273.64102154796
1645,252280.20644087513
1646,163203.62409649498
1647,139707.8598203868
1648,145939.47563638448
1649,114602.44944324922
1650,147376.6802445912
1651,158867.5561031901
1652,136890.6009260797
1653,123818.95679622635
1654,118433.78712785654
1655,132663.46694740935
1656,113543.81627340402
1657,113342.481337157
1658,110186.4704780137
1659,85903.70942760618
1660,187415.82471314992
